,title,release_year,runtime_min,genre,rating,gross_usd_mil
660,The Iron Giant,1999,86,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",8.1,23.16
2087,The Boondock Saints,1999,108,"Action, Thriller, Action, Thriller",7.7,0.03
2363,Office Space,1999,89,Comedy,7.6,10.82
1772,All About My Mother,1999,101,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.8,8.26
116,American History X,1998,119,"Crime, Drama, Crime, Drama",8.5,6.72
2412,Mulan,1998,87,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.6,120.62
1115,"Black Cat, White Cat",1998,127,"Comedy, Crime, Romance, Comedy, Crime, Romance, Comedy, Crime, Romance",8.0,0.35
1135,Central Station,1998,110,Drama,8.0,5.6
2360,Rushmore,1998,93,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.6,17.11
723,The Celebration,1998,105,Drama,8.1,1.65
68,Saving Private Ryan,1998,169,"Drama, War, Drama, War",8.6,216.54
2418,The Thin Red Line,1998,170,"Drama, History, War, Drama, History, War, Drama, History, War",7.6,36.4
854,Everything's Gonna Be Great,1998,107,"Comedy, Drama, Thriller, Comedy, Drama, Thriller, Comedy, Drama, Thriller",8.1,0.0
629,"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime, Action, Comedy, Crime, Action, Comedy, Crime",8.1,3.9
2421,Dark City,1998,100,"Fantasy, Mystery, Sci-Fi, Fantasy, Mystery, Sci-Fi, Fantasy, Mystery, Sci-Fi",7.6,14.38
2082,Happiness,1998,134,"Comedy, Drama, Comedy, Drama",7.7,2.81
559,The Big Lebowski,1998,117,"Comedy, Crime, Comedy, Crime",8.1,17.5
2188,Run Lola Run,1998,80,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.7,7.27
375,The Truman Show,1998,103,"Comedy, Drama, Comedy, Drama",8.2,125.62
1041,The Legend of 1900,1998,169,"Drama, Music, Romance, Drama, Music, Romance, Drama, Music, Romance",8.0,0.26
493,Children of Heaven,1997,89,"Drama, Family, Sport, Drama, Family, Sport, Drama, Family, Sport",8.2,0.93
244,Good Will Hunting,1997,126,"Drama, Romance, Drama, Romance",8.3,138.43
78,Life Is Beautiful,1997,116,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",8.6,57.6
2079,As Good as It Gets,1997,139,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.7,148.48
2340,The Fifth Element,1997,126,"Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi",7.6,63.54
2306,Fireworks,1997,103,"Crime, Drama, Romance, Crime, Drama, Romance, Crime, Drama, Romance",7.7,0.23
1903,Knockin' on Heaven's Door,1997,87,"Action, Crime, Comedy, Action, Crime, Comedy, Action, Crime, Comedy",7.8,0.0
972,Perfect Blue,1997,81,"Animation, Crime, Drama, Animation, Crime, Drama, Animation, Crime, Drama",8.0,0.78
2276,Taste of Cherry,1997,95,Drama,7.7,0.31
399,L.A. Confidential,1997,138,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",8.2,64.62
2069,Donnie Brasco,1997,127,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",7.7,41.91
1219,Boogie Nights,1997,155,Drama,7.9,26.4
